time_utc,ch4,co2_ppm
YYYY-MM-DD HH:mm,ppb,ppm
2023-04-27 23:05,1999.5,424.87
2023-04-28 00:05,1994.1,424.65
2023-04-28 01:05,2056.9,425.0
2023-04-28 02:05,2462.4,428.32
2023-04-28 03:05,2475.2,434.18
2023-04-28 04:05,2373.2,429.22
2023-04-28 05:05,3338.6,433.35
2023-04-28 06:05,3764.4,441.07
2023-04-28 07:05,2141.8,428.04
2023-04-28 08:05,2070.4,427.48
2023-04-28 09:05,2186.7,428.64
2023-04-28 10:05,2349.9,435.42
2023-04-28 11:05,2348.2,439.46
2023-04-28 12:05,2100.1,431.61
2023-04-28 13:05,2032.1,429.21
2023-04-28 14:05,2035.1,427.39
2023-04-28 15:05,2023.6,427.25
2023-04-28 16:05,2005.8,426.56
2023-04-28 17:05,2094.7,427.37
2023-04-28 18:05,1999.8,426.51
2023-04-28 19:05,2012.3,426.52
2023-04-28 20:05,2009.1,426.08
2023-04-28 21:05,2004.6,426.12
2023-04-28 22:05,2006.5,426.24
2023-04-28 23:05,2050.9,427.02
2023-04-29 00:05,2010.1,426.43
2023-04-29 01:05,2031.7,426.84
2023-04-29 02:05,2136.1,429.14
2023-04-29 03:05,2069.2,430.45
2023-04-29 04:05,2132.8,431.91
2023-04-29 05:05,2149.5,428.48
2023-04-29 06:05,2298.0,428.14
2023-04-29 07:05,2490.0,448.14
2023-04-29 08:05,2685.0,435.06
2023-04-29 09:05,2589.7,434.41
2023-04-29 10:05,2766.2,431.29
2023-04-29 11:05,2899.5,441.99
2023-04-29 12:05,3466.9,437.62
2023-04-29 13:05,2489.4,433.4
2023-04-29 14:05,2244.7,427.51
2023-04-29 15:05,2185.8,427.25
2023-04-29 16:05,2089.8,426.83
2023-04-29 17:05,2199.5,428.43
2023-04-29 18:05,2024.9,425.98
2023-04-29 19:05,2042.2,425.67
2023-04-29 20:05,2017.5,425.63
2023-04-29 21:05,2011.6,425.79
2023-04-29 22:05,2220.5,425.71
2023-04-29 23:05,2011.4,426.0
2023-04-30 00:05,2023.2,425.95
2023-04-30 01:05,2027.4,426.7
2023-04-30 02:05,2203.2,429.74
2023-04-30 03:05,2614.1,433.73
2023-04-30 04:05,3306.8,434.85
2023-04-30 05:05,3985.0,436.85
2023-04-30 06:05,2303.2,431.12
2023-04-30 07:05,3837.0,436.09
2023-04-30 08:05,4355.7,443.37
2023-04-30 09:05,4213.7,448.38
2023-04-30 10:05,3296.8,443.49
2023-04-30 11:05,3695.6,446.88
2023-04-30 12:05,5073.4,442.45
2023-04-30 13:05,5024.5,460.57
2023-04-30 14:05,3933.1,447.08
2023-04-30 15:05,3919.6,444.21
2023-04-30 16:05,3291.6,436.32
2023-04-30 17:05,2619.5,430.1
2023-04-30 18:05,2205.6,427.04
2023-04-30 19:05,1971.3,424.34
2023-04-30 20:05,1961.8,423.64
2023-04-30 21:05,1967.0,423.98
2023-04-30 22:05,1968.9,424.02
2023-04-30 23:05,2005.1,424.08
2023-05-01 00:05,1961.7,424.12
2023-05-01 01:05,2017.7,424.88
2023-05-01 02:05,2601.4,429.66
2023-05-01 03:05,2337.1,426.83
2023-05-01 04:05,2216.8,428.73
2023-05-01 05:05,2423.7,427.25
2023-05-01 06:05,2193.5,425.82
2023-05-01 07:05,2354.5,426.15
2023-05-01 08:05,2355.9,425.66
2023-05-01 09:05,2150.1,426.11
2023-05-01 10:05,2306.8,431.39
2023-05-01 11:05,2304.3,431.05
2023-05-01 12:05,2681.3,436.57
2023-05-01 13:05,2245.6,431.71
2023-05-01 14:05,2161.5,427.93
2023-05-01 15:05,2185.3,427.13
2023-05-01 16:05,2184.6,426.85
2023-05-01 17:05,2197.6,426.36
2023-05-01 18:05,2193.1,425.59
2023-05-01 19:05,2281.1,425.27
2023-05-01 20:05,2256.6,425.76
2023-05-01 21:05,2325.5,427.0
2023-05-01 22:05,2358.8,427.53
2023-05-01 23:05,2334.1,426.95
2023-05-02 00:05,2334.7,427.6
2023-05-02 01:05,2331.3,427.64
2023-05-02 02:05,2411.5,430.96
2023-05-02 03:05,2885.4,433.51
2023-05-02 04:05,2768.3,435.3
2023-05-02 05:05,3034.8,437.12
2023-05-02 06:05,3246.9,435.79
2023-05-02 07:05,2741.1,434.19
2023-05-02 08:05,3874.5,448.03
2023-05-02 09:05,5947.6,447.91
2023-05-02 10:05,5237.0,450.06
2023-05-02 11:05,5580.5,457.09
2023-05-02 12:05,4502.7,452.33
2023-05-02 13:05,4442.1,452.98
2023-05-02 14:05,3579.8,444.83
2023-05-02 15:05,3506.8,441.23
2023-05-02 16:05,3416.9,438.93
